participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.foil_id;player.foil_type;player.plausibility1;player.plausibility2;player.plausibility3;player.typicality1;player.typicality2;player.typicality3;player.suitability;player.sparseness;player.conciseness;player.payoff;group.id_in_subsession;subsession.round_number;session.code;session.label;session.experimenter_name;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;nhps4mda;;0;50;49;feedback;Feedback;2020-06-23 08:05:27.646147+00:00;1;;;0;1;9c578c8a-e534-4741-a8af-b957124a1d20;wachter;3;3;2;3;3;2;3;3;2;0;1;1;kg7i2cnr;;;;;;0
1;nhps4mda;;0;50;49;feedback;Feedback;2020-06-23 08:05:27.646147+00:00;1;;;0;1;f32ba169-8c6e-473d-9a26-d58e91226eea;wachter;1;3;3;2;2;3;3;2;3;0;1;2;kg7i2cnr;;;;;;0
1;nhps4mda;;0;50;49;feedback;Feedback;2020-06-23 08:05:27.646147+00:00;1;;;0;1;49df7ba0-2081-40f7-bde6-ba97b15dee69;cocomix;4;3;3;3;4;3;3;3;3;0;1;3;kg7i2cnr;;;;;;0
1;nhps4mda;;0;50;49;feedback;Feedback;2020-06-23 08:05:27.646147+00:00;1;;;0;1;4a66e901-b0da-4af5-9d33-181665918c9f;cocomix;1;3;4;3;2;5;4;3;3;0;1;4;kg7i2cnr;;;;;;0
1;nhps4mda;;0;50;49;feedback;Feedback;2020-06-23 08:05:27.646147+00:00;1;;;0;1;eacda612-5cec-43fc-b887-187a5187a15f;wachter;1;4;4;3;1;4;4;2;4;0;1;5;kg7i2cnr;;;;;;0
1;nhps4mda;;0;50;49;feedback;Feedback;2020-06-23 08:05:27.646147+00:00;1;;;0;1;64d6f928-2894-493b-989b-d4ddbb17339a;cocomix;5;3;3;4;4;3;3;4;3;0;1;6;kg7i2cnr;;;;;;0
1;nhps4mda;;0;50;49;feedback;Feedback;2020-06-23 08:05:27.646147+00:00;1;;;0;1;0ea2ecb7-eb90-4529-a523-96d63f760c6f;wachter;1;3;4;3;2;5;4;3;3;0;1;7;kg7i2cnr;;;;;;0
1;nhps4mda;;0;50;49;feedback;Feedback;2020-06-23 08:05:27.646147+00:00;1;;;0;1;b7d179ad-eaf1-4ffa-af89-aa6669dc72a0;cocomix;5;3;2;3;4;2;1;4;3;0;1;8;kg7i2cnr;;;;;;0
1;6pm7hmm1;;0;4;16;evaluate_explanations;Evaluate;2020-06-23 10:51:37.526160+00:00;1;;;0;1;1edf53f6-478d-43a4-bcb6-fb0e37a445f9;wachter;2;5;4;4;3;4;4;3;4;0;1;1;zhuh9fiz;;;;;;1
1;6cnlsn5r;;0;50;49;feedback;Feedback;2020-06-23 12:03:08.834658+00:00;1;;;0;1;2217f9de-0421-4edf-9aae-6425e9aa3573;cocomix;4;4;2;2;2;2;4;4;1;0;1;1;j529va1r;;;;;;0
1;6cnlsn5r;;0;50;49;feedback;Feedback;2020-06-23 12:03:08.834658+00:00;1;;;0;1;028abf1c-169d-48e3-bc70-408a10831bc2;wachter;5;5;1;2;5;4;2;2;1;0;1;2;j529va1r;;;;;;0
1;6cnlsn5r;;0;50;49;feedback;Feedback;2020-06-23 12:03:08.834658+00:00;1;;;0;1;3d0977bc-7b67-4d06-8b93-523aad77041e;wachter;4;4;2;2;4;4;1;1;1;0;1;3;j529va1r;;;;;;0
1;6cnlsn5r;;0;50;49;feedback;Feedback;2020-06-23 12:03:08.834658+00:00;1;;;0;1;f32ba169-8c6e-473d-9a26-d58e91226eea;wachter;5;5;1;1;5;5;5;5;1;0;1;4;j529va1r;;;;;;0
1;6cnlsn5r;;0;50;49;feedback;Feedback;2020-06-23 12:03:08.834658+00:00;1;;;0;1;cb470cd2-9036-47d5-acd3-7958dc87beb7;cocomix;4;4;2;4;2;2;5;5;1;0;1;5;j529va1r;;;;;;0
1;6cnlsn5r;;0;50;49;feedback;Feedback;2020-06-23 12:03:08.834658+00:00;1;;;0;1;64f49b98-8c3c-4133-8829-50930438f800;wachter;5;5;1;1;5;4;5;5;1;0;1;6;j529va1r;;;;;;0
1;6cnlsn5r;;0;50;49;feedback;Feedback;2020-06-23 12:03:08.834658+00:00;1;;;0;1;6b4b0d42-a6b3-4ab8-94fa-0112b9b9a6f2;cocomix;4;4;2;2;4;4;4;2;1;0;1;7;j529va1r;;;;;;0
1;6cnlsn5r;;0;50;49;feedback;Feedback;2020-06-23 12:03:08.834658+00:00;1;;;0;1;da69e221-6113-4266-a70e-292fd9e3caa2;cocomix;5;5;1;1;2;2;4;4;4;0;1;8;j529va1r;;;;;;0
1;yladnt3b;;0;50;49;feedback;Feedback;2020-06-23 13:09:26.476661+00:00;1;;;0;1;f3eda77c-950b-4478-a4b0-053b8b2b79f1;cocomix;5;5;1;2;4;4;4;4;1;0;1;1;yhmc2rv9;;;;;;1
1;yladnt3b;;0;50;49;feedback;Feedback;2020-06-23 13:09:26.476661+00:00;1;;;0;1;4f9bb1b1-819d-4a5e-9221-b286c61619fd;cocomix;3;2;1;4;2;2;4;4;1;0;1;2;yhmc2rv9;;;;;;1
1;yladnt3b;;0;50;49;feedback;Feedback;2020-06-23 13:09:26.476661+00:00;1;;;0;1;80c3c389-77b5-4393-9c37-302c33d6fbf1;wachter;5;5;1;1;5;4;4;5;1;0;1;3;yhmc2rv9;;;;;;1
